317, 291, 368, 321
302, 300, 332, 342
308, 269, 363, 317
309, 298, 358, 335
278, 298, 326, 336
317, 291, 368, 321
302, 300, 332, 342
266, 291, 318, 321
309, 298, 358, 335
278, 298, 326, 336
271, 270, 327, 317
302, 300, 332, 342
266, 291, 318, 321
300, 262, 334, 315
301, 262, 334, 315
300, 298, 336, 352
303, 300, 332, 343
309, 270, 364, 317
299, 298, 337, 352
277, 298, 326, 336
317, 292, 368, 321
299, 299, 337, 351
266, 292, 318, 321
309, 298, 358, 336
299, 298, 336, 352
271, 270, 326, 317
303, 300, 332, 343
300, 298, 336, 352
301, 262, 334, 315
300, 262, 334, 315
266, 291, 318, 321
302, 300, 332, 342
308, 269, 363, 317
271, 270, 327, 317
278, 298, 326, 336
317, 291, 368, 321
300, 262, 334, 315
266, 291, 318, 321
309, 298, 358, 335
308, 269, 363, 317
271, 270, 327, 317
302, 300, 332, 342
317, 291, 368, 321
328, 261, 361, 314
328, 261, 361, 314
341, 288, 393, 319
327, 299, 357, 342
334, 267, 388, 316
333, 296, 380, 333
301, 298, 351, 337
341, 288, 393, 319
327, 299, 357, 342
292, 293, 344, 321
333, 296, 380, 333
301, 298, 351, 337
298, 271, 352, 316
327, 299, 357, 342
292, 293, 344, 321
328, 261, 361, 314
328, 261, 361, 314
328, 298, 367, 350
327, 299, 357, 342
334, 268, 388, 316
328, 298, 367, 350
301, 297, 351, 337
341, 289, 393, 319
328, 298, 367, 350
292, 293, 344, 321
334, 296, 381, 333
328, 298, 366, 349
298, 271, 352, 317
327, 299, 357, 342
328, 298, 367, 350
328, 261, 361, 314
328, 261, 361, 314
292, 293, 344, 321
327, 299, 357, 342
334, 267, 388, 316
298, 271, 352, 316
301, 298, 351, 337
341, 288, 393, 319
328, 261, 361, 314
292, 293, 344, 321
333, 296, 380, 333
334, 267, 388, 316
298, 271, 352, 316
327, 299, 357, 342
341, 288, 393, 319
353, 259, 388, 311
353, 259, 388, 311
364, 284, 414, 316
350, 297, 381, 340
360, 264, 412, 312
358, 293, 401, 329
324, 295, 375, 336
364, 284, 414, 316
350, 297, 381, 340
319, 291, 371, 321
358, 293, 401, 329
324, 295, 375, 336
325, 270, 377, 314
350, 297, 381, 340
319, 291, 371, 321
353, 259, 388, 311
353, 259, 388, 311
354, 295, 395, 346
350, 297, 381, 340
360, 264, 412, 313
354, 295, 395, 346
325, 295, 375, 336
364, 285, 414, 316
354, 295, 395, 346
319, 291, 371, 321
358, 293, 401, 329
354, 295, 395, 346
326, 270, 377, 314
350, 297, 381, 340
354, 295, 395, 346
353, 259, 388, 311
353, 259, 388, 311
319, 291, 371, 321
350, 297, 381, 340
360, 264, 412, 312
325, 270, 377, 314
324, 295, 375, 336
